Category,Description
Document_Writing,"Request a report back from the city manager in 90 days to explore alternatives to glyphosate, including liberal seat products and the costs associated with its implementation."
Meeting_Planning,"Arrange a meeting with the park staff and the city of Long Beach, Los Angeles Unified School District, and the EPA regarding alternatives to chemical pesticides."
Document_Writing,Adopt a resolution authorizing the issuance of harbor revenue refunding short term notes series 2018a.
Administrative_Communication,"Request City Council approval on September 4th, 2018 for the issuance of the 2018 notes."
Document_Writing,Draft a report outlining the updates on the budget proposal related to the youth fund and its strategic planning.
Meeting_Planning,Schedule a follow-up council meeting to discuss the contract with the Vera Institute and the community law service provider.
Administrative_Communication,Send out communication to the community and stakeholders regarding the outcomes of the council's vote on the justice fund.
Meeting_Planning,"Organize the dedication of the green space on Saturday, the 18th, at 9:30 a.m. at First and Loma."
Document_Writing,Develop a plan to lead the nation on sustainability for airports.
Administrative_Communication,Engage the Sustainability Commission and Airport Advisory Commission in the development of the new sustainability plan.
Document_Writing,Research and develop the housing choice voucher anti-discrimination ordinance within 3 to 6 months.
Meeting_Planning,Prepare to bring back the transitional parking item for a full conversation in September.
Administrative_Communication,"Finalize language for potential ballot measures regarding dedicated revenue for affordable housing and homelessness by September 18, 2019, for March 2020 election. | Bring back updates on tenant protections policy in October 2018, short-term rentals policy in November 2018, and inclusionary housing policy in December 2018."
Document_Writing,Prepare a report on beach cleanliness including assessments of trash can types and cleaning methods.
Administrative_Communication,Communicate with city departments regarding law enforcement and maintenance on the beach.
Document_Writing,Draft the quarterly financial report. | Compile a list of positions that were general fund enhancements recommended for structural funding within the last five years. | Prepare a strategic plan for youth development engaging multiple departments and the community. | Create a plan for outreach and mobile testing for STD services. | Create a plan to fully fund the language access program with a full-time position.
Meeting_Planning,Schedule the next budget review meeting for Friday.
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting. | Ensure communication with community stakeholders regarding the youth development strategic planning process. | Allocate funding for the African-American Cultural Center.
Document_Writing,"Create a report on the progress of the $3.4 million in state funding for year-round shelters and associated services. | Develop a comprehensive plan to enhance language access that outlines necessary resources, including budget proposals."
Meeting_Planning,Organize community input sessions to gather feedback on library operating hours and proposed services.
Administrative_Communication,Send out notification regarding the upcoming rollout of the new library website to all community members. | Draft and circulate a memorandum about the funding allocation for the community's youth programs and services.
Document_Writing,Prepare more information and attachments regarding grid alternatives proposed by CAI.
Administrative_Communication,Start working with the Carroll Park community to initiate the process for a residential preferential parking permit.
Administrative_Communication,Request city manager to encourage all City of Long Beach employees to participate in the USC Sol Price School of Public Policy State of the Service Public Employee Survey within the next 45 days.
Document_Writing,"Request city attorney to prepare a resolution in support of the Los Angeles region's Safe, Clean Water Program."
Meeting_Planning,"Support the upcoming measure for the Los Angeles region's Safe, Clean Water Program on the November ballot."
Administrative_Communication,"Work on getting the word out to voters regarding the Safe, Clean Water Program funding measure."
Document_Writing,"Prepare a report on possible alternatives to the Southeast Resource Recovery Facility after 2024, including potential anaerobic digestion and better source separation programs."
Meeting_Planning,Schedule a presentation for the council on the feasibility of the Southeast Resource Recovery Facility and its future options.
Administrative_Communication,Ensure council members receive annual updates on the performance of the Southeast Resource Recovery Facility.
Document_Writing,Draft an authorization for the city manager to execute a contract with the Department of Homeland Security for the Port Security Grant Program. | Prepare an amendment to the Southeast Resource Recovery Facility Operations and Maintenance Agreement with Covanta Long Beach Renewable Energy Corporation.
Document_Writing,Develop a public communications plan rolling out information about the blue line closure and improvements.
Meeting_Planning,Schedule follow-up meetings to keep the council informed about the Metro projects and updates on the 710 project.
Administrative_Communication,Follow up with the community on the integration of feedback regarding bus service and express shuttle plans.
Meeting_Planning,Continue the hearing to October 2nd.
Document_Writing,Adopt resolution amending the master fee and charges schedule for adult use cannabis business application fees and fines.
Meeting_Planning,Schedule discussions for reviewing the application process and addressing planning delays for cannabis businesses.
Administrative_Communication,Communicate with city staff regarding the need for recommendations to improve the application process and staffing issues related to cannabis application submissions.
Document_Writing,Draft the resolution ordering the vacation of the portion of Atlantic Avenue adjacent to 516535190.
Meeting_Planning,Schedule the next hearing regarding the vacation of Atlantic Avenue.
Administrative_Communication,Send out notices for the public hearing on the vacation of Atlantic Avenue.
Document_Writing,Redistribute copies of the 2018 Social Impact Report to council members.
Document_Writing,Draft an ordinance to protect hotel workers and present it for voter approval.
Meeting_Planning,Schedule a report back in 30 days regarding the economic impact study related to the safety ordinance for hotel workers.
Administrative_Communication,Notify the public about the upcoming ordinance and its implications for hotel workers prior to the November election.
Document_Writing,Prepare the supporting documentation for the entertainment permit application of Sierra Anita's restaurant.
Administrative_Communication,Communicate the noise abatement conditions to the business regarding their entertainment permit.
Document_Writing,Prepare a report with options for a dedicated local revenue strategy and implementation plan for addressing affordable housing and homelessness.
Meeting_Planning,Schedule follow-up discussions for the next City Council meeting regarding ongoing homeless services and the acquisition of buildings for year-round shelter.
Administrative_Communication,Draft a policy proposal for a source of income discrimination to be introduced for discussion at the next available City Council meeting.
Document_Writing,Finalize and publish the Vision Zero Action Plan. | Develop a strategy for additional funding for library upgrades and modernization.
Meeting_Planning,"Schedule discussions about the future funding needs and plans for park improvements, particularly at Bixby Park and the new dog park. | Plan a review session on the parks and recreation enhancement plans, including potential sites for new playgrounds. | Coordinate with public safety and disaster preparedness teams on future communication strategies for diverse community needs."
Administrative_Communication,Notify council members about the progress on the SB 1 funded street projects and updates regarding potential repeal of SB 1. | Communicate findings from the sidewalk assessment to ensure repair priorities address health and safety hazards.
Document_Writing,Require the city manager to conduct an inventory of beach and park space signage.
Document_Writing,Draft the Uptown Open Space Vision Plan for future investment and funding applications.
Meeting_Planning,Schedule a follow-up meeting to discuss the implementation strategies of the Uptown Open Space Vision Plan.
Administrative_Communication,Send a communication to Caltrans to discuss partnership opportunities for maintaining open green spaces.
Document_Writing,Adopt a resolution approving the acceptance of the sustainable communities planning grant from Caltrans.
Administrative_Communication,Modify the development services budget to accept the grant as part of the Department's budget.
Document_Writing,Draft a resolution establishing an annual special tax for Community Facility District Number 2007-24 for fiscal year 2019.
Administrative_Communication,Send out delinquency notices to notify delinquent property owners about their pending default before July 1.
Document_Writing,"Adopt the annual action plan for Fiscal Year 2019. | Approve amendments to the 2015, 2016, 2017, and 2018 action plans."
Document_Writing,Submit a proposal for a community solar program to the Chan Zuckerberg Initiative and the Rockefeller Foundation.
Meeting_Planning,Schedule a collaboration meeting with community organizations to discuss solar installations and support for low-income families.
Administrative_Communication,Communicate with Councilwoman Price regarding collaboration opportunities for solar installations and funding for new roofs.
Meeting_Planning,Schedule the discussion of the resolution to support the Safe Clean Water Program ballot measure for August 14.
Administrative_Communication,Prepare a resolution in support of the Safe Clean Water Program ballot measure to be discussed on August 14.
Administrative_Communication,Prepare a letter of support to recognize June as Pride Month in Long Beach.
Meeting_Planning,Continue the item to reschedule for the next council meeting.
Document_Writing,Prepare a report on how the city can expand the enforcement of fireworks violations through ordinance changes. | Evaluate the feasibility of using video evidence of fireworks violations provided to the city by residents. | Create a heat map report on calls for service and responses related to fireworks across all police divisions.
Administrative_Communication,Send out educational materials to the community regarding the impacts of illegal fireworks.
Document_Writing,"Request city manager to work with Long Beach Police Department and other stakeholders to report back within 20 days regarding options to streamline traffic circulation, improve traffic enforcement and increase safety surrounding schools."
Meeting_Planning,Schedule the next meeting for the Joint Use Committee.
Administrative_Communication,Send out an update to discuss the progress of the Joint Use Committee.
Document_Writing,Prepare the ordinance amending the municipal code by adding Chapter 2.56. | Draft a resolution repealing the previous resolutions of the Commissions on Youth and Children.
Meeting_Planning,Lead the ordinance over to the next regular meeting of the City Council for Final Reading.
Document_Writing,Request City Attorney to draft an ordinance to increase the enforcement tools available for the city against party houses. | Include the party house enforcement discussion into the upcoming short term rental ordinance.
Document_Writing,Draft the contract document for Sally Miller Contracting Company for street improvements. | Draft the contract document for Sally Miller Contracting Company for the cycle track project.
Document_Writing,Execute all agreements to establish a partnership with Long Beach and the City of Long Beach to provide internship opportunities.
Document_Writing,"Draft a plan for public-facing government buildings to include diaper changing stations, in alignment with Assembly Bill 1127."
Meeting_Planning,"Organize the 'Park it with Dads' event for Saturday, June 23rd at Highland Park."
Administrative_Communication,Create and send out communications supporting the endorsement of the nine father friendly principles.
Document_Writing,Develop a plan to leverage the cloud for the city's data and systems and report back on the progress in 120 days. | Conduct an assessment of smartphones and bring your own device programs and other methodologies to minimize the number of desk phones purchased for the new civic center.
Document_Writing,Establish a Long Beach Children and Youth Fund before the end of this budget cycle.
Meeting_Planning,Schedule a meeting with youth representatives to discuss budget priorities and funding allocations.
Administrative_Communication,Connect with relevant stakeholders regarding the establishment of a youth shelter.
Document_Writing,Draft the ordinance amending and restating Chapter 5.58 and amending Title 21 of the Long Beach Municipal Code relating to regulations of massage establishments.
Meeting_Planning,Schedule a follow-up discussion to review the business licensing concerns raised by massage therapists and explore options for multiple location licensing.
Administrative_Communication,Work with the finance department to address the business licensing issues for massage therapists.
Administrative_Communication,Send out a certificate of recognition to Mr. Bowden for his retirement.
Document_Writing,Draft the ordinance granting a limited natural gas franchise to SoCal Gas.
Meeting_Planning,"Schedule the return of staff before Council on October 9th, 2018 to request adoption of the second ordinance reading."
Administrative_Communication,Notify the California Public Utilities Commission regarding the approval of the additional 1% surcharge.
Document_Writing,Produce lawn signs that specifically address concerns of the veterans community regarding fireworks.
Meeting_Planning,Direct staff to contact fire headquarters to obtain lawn signs.
Document_Writing,"Adopt a resolution approving an addendum to the Midtown Specific Plan and adopt a resolution amending zoning code by amending the Midtown Specific Plan. | Declare an ordinance approving a zone change relating to a portion of the Salvation Army campus to the Midtown's specific plan. | Find the proposed vacation of a portion of Elm Avenue, north of Spring Street, and two alleys located between Elm and Pasadena Avenues."
Administrative_Communication,"Process the vacation request through the Public Works Department, which will come back to the council at a later date after their public outreach."
Document_Writing,Draft a contract with the broadband group for citywide fiber network implementation planning.
Meeting_Planning,Coordinate with service providers such as Charter and Frontier regarding the fiber network implementation.
Document_Writing,Adopt a resolution authorizing the city manager to execute a contract with National Auto Fleet Group for the purchase of seven 2018 for 50 ambulances. | Execute a six year lease purchase agreement for financing documents with Bank of America Public Capital Corporation of San Francisco.
Document_Writing,"Authorize the city manager or designee to execute all documents necessary for an exclusive negotiating agreement with Molina, Wu Network, LLC, for the lease and potential development of the property at Community Hospital."
Meeting_Planning,"Continue to work with the architect, operator, and state agency to finalize the seismic retrofit plans and provide a cost estimate back to Council for construction. | Return to the state legislature once the operating plan and seismic plan are in hand to advance legislation that would extend the seismic compliance date. | Continue weekly meetings with Community Hospital staff to ensure 100% placement of staff either with Molina, Wu Network or another area hospital."
Administrative_Communication,"Authorize the city manager to execute all documents necessary to accept the assignment management and revenue collection for existing leases between Long Beach Memorial Medical Center, Memorial Care and the existing tenants at the site. | Express the city's position that maintenance of uninterrupted emergency services is critical and urge Memorial Care to establish a transition plan with the new operator to limit disruption of emergency services."
Document_Writing,Provide a report on steps made toward the parks open space and median drought response plan. | Develop a strategic plan for park maintenance.
Administrative_Communication,"Send out communication regarding the identified $800,000 budget for additional watering."
Document_Writing,"Request the city auditor to conduct a review of the proposed contract with Alliant Insurance Services for Health Care, Employee Benefits, Consulting and Actuarial Services, and to report back to the City Council."
Meeting_Planning,Schedule a meeting within seven days for city staff to identify resources for the third-party study and to reach out to employee groups.
Meeting_Planning,Continue the item regarding the contract with Alliance Insurance Services to the next council meeting.
Document_Writing,Adopt resolution approving an exception to the 180 day waiting period for public agencies to hire Pamela Hawk Morgan.
Document_Writing,Adopt resolution authorizing City Manager to submit a grant application to the California Natural Resources Agency for the 51st Street Greenbelt Project.
Administrative_Communication,Send out email notifications to the newly appointed commissioners regarding their roles.
Document_Writing,Adopt resolutions to approve 11 repaving resurfacing projects.
Administrative_Communication,Make a clerical adjustment to correct the street name from Gardena to Gardenia.
Administrative_Communication,Communicate the city’s support of AB 2943 regarding conversion therapy. | Have the city's lobbyists work on the passage of AB 2943.
Document_Writing,Work with public works and report back in 60 days on current outreach efforts through the Clean Long Beach Initiative. | Make sure that there's decals on the locked bins to direct people to services.
Document_Writing,Create a report detailing the implementation and effectiveness of the locked bins pilot program in the East Village.
Meeting_Planning,Schedule a study session to update the council on initiatives addressing blight and the topic of trash reporting.
Administrative_Communication,Direct the city manager to work with public works and report back in 60 days with recommendations for a pilot public outreach program within the East Village to landlords with dumpsters.
Document_Writing,"Prepare a progress and performance report for the bike share program, including rental location frequency and cost figures. | Compile heatmap data showing the extent of the ridership of the bike share program."
Administrative_Communication,Request staff to implement a pilot DeKalb program applying informational decals on locked bins within the East Village. | Direct City Manager to work with public works and report back in 60 days on current outreach efforts through the Clean Long Beach Initiative.
Document_Writing,Prepare a formal update on the body worn camera pilot program to be presented to the council in six months.
Meeting_Planning,Schedule the next evaluation meeting for the body worn camera pilot program.
Administrative_Communication,Communicate with Axon about the availability of the Veeva camera and operating system.
Document_Writing,Amend the master fee and charges schedule citywide.
Meeting_Planning,Prepare for the discussion on parking meters and parking rates in the next agenda item.
Document_Writing,"Request the city auditor to conduct a full audit of practices and return with policy recommendations. | Review protocols for the Legislative Department, specifically instituting a robust orientation and onboarding with annual ethics trainings for all legislative staff. | Establish a similar resource as the City of LA's My Voice website for city employees to learn their rights regarding discrimination and harassment. | Support the establishment of an ethics commission with community oversight. | Discover a budget cycle way to match a $150,000 investment to support the city in becoming trauma-informed."
Document_Writing,Draft an amendment to the development agreement for the Riverdale project regarding the timeline for park completion and occupancy certificates.
Meeting_Planning,Schedule the next regular meeting for the final reading of the ordinance related to the development agreement.
Administrative_Communication,Send official notice to property owners within a 1000-foot radius of the park site regarding the public hearing.
Document_Writing,Draft an ordinance amending various sections of Title 21 of the Long Beach Municipal Code relating to the regulation of tattoo parlors.
Administrative_Communication,Direct the Director of Development Services to submit a request to the California Coastal Commission for certification of an amendment to the Certified Local Coastal Program Citywide.
Document_Writing,Draft a recommendation to refer the naming of the park to the Parks and Recreation Commission.
Administrative_Communication,Communicate the proposal to name the pocket park at First Street and Loma Ave after John Park to the relevant city departments.
Document_Writing,Draft the quarterly financial report.
Meeting_Planning,Schedule the next budget review meeting for Friday.
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting.
Document_Writing,Prepare the staff report for the entertainment permit application for Hooked Up Ventures.
Document_Writing,Execute all documents necessary for the First Amendment to lease with Catalina Landing.
Administrative_Communication,Send out notifications for the approved amendment regarding the lease extension.
Document_Writing,Prepare the communication to recommend increases in appropriations in the general fund for the Development Services Department.
Document_Writing,Draft a resolution in support of the Safe Consumer Lending Act AB 2500.
Administrative_Communication,Prepare a member memo to provide an update on the status of predatory lending or payday lenders in the city of Long Beach.
Document_Writing,Draft a resolution approving an addendum to Midtown's specific plan. | Draft a resolution approving General Plan Amendment 18-001.
Document_Writing,Draft and adopt a mitigated negative declaration and amend the ordinances related to the use district map.
Meeting_Planning,Schedule the next regular meeting for final reading of the ordinances.
Administrative_Communication,Communicate with the developer and stakeholders about the project's progress and zoning approval.
Document_Writing,Request City Attorney to draft a resolution in support of the Drug Enforcement Agency's semiannual national prescription drug takeback events.
Meeting_Planning,"Organize the National Take Back Pharmacy event on April 28, 2018, at Long Beach."
Administrative_Communication,Promote awareness about prescription drug takeback events through community education and outreach.
Document_Writing,"Prepare a report back regarding the impacts of phases one and two of the polystyrene ordinance, including recommendations for future implementation."
Meeting_Planning,"Schedule a study session for August 13, 2019, to discuss the impacts and rollout of the polystyrene ordinance."
Administrative_Communication,Ensure the small business community is informed about the developments regarding the polystyrene ordinance and the timeline for implementation.
Document_Writing,City manager and city attorney to draft an ordinance to prohibit pedestrian access to medians that are less than four feet wide or located on streets with a speed limit of 35 miles per hour or more. | Conduct a safety study to identify worst corridors for vehicle and pedestrian accidents.
Document_Writing,Prepare and submit the grant application to the California Department of Parks and Recreation for the Davenport Park Sports Field and Recreation project.
Document_Writing,Draft and adopt the ordinance amending various sections of Title 21 of the Lumbee Municipal Code relating to the regulation of tattoo parlors.
Meeting_Planning,Schedule a follow-up meeting on the tattoo parlor ordinance changes for May 1st.
Administrative_Communication,Send notifications for the upcoming city council meeting regarding the tattoo parlor ordinance.
Document_Writing,Prepare the $7 million appropriation documentation for the second budget adjustment.
Administrative_Communication,Request a brief report from staff for future council meetings regarding technology infrastructure.
Document_Writing,Draft a report summarizing questions and feedback received regarding the proposed rent control ordinance.
Meeting_Planning,Schedule follow-up meetings to discuss the findings from the report on rent control.
Administrative_Communication,Send out communications to stakeholders regarding the outcomes of the discussions on the rent control initiative.
Document_Writing,Provide plans for the 2018 Pride Festival no later than April 1st.
Administrative_Communication,City auditor to sit down with Pride organization to identify best practices. | Identify cost-saving measures with special events and economic development.
Document_Writing,Prepare a comprehensive report detailing contributions of women in Long Beach politics for subsequent meetings.
Meeting_Planning,Plan awareness raising events in the community related to domestic violence and women's issues.
Administrative_Communication,Invite community members to the upcoming 'T with Alice' event happening next week. | Follow up on potential collaborations aimed at addressing women's economic independence and awareness of financial abuse.
Document_Writing,Adopt the resolution denying the appeals related to the Board of Harbor Commissioners Certification of the Final Environmental Impact Report for the Pier B on Dock Rail Support Facility Project.
Meeting_Planning,Schedule follow-up community meetings to discuss the impacts of the Pier B project on local businesses and residents.
Administrative_Communication,Send out notifications to affected businesses regarding the decision on the appeals and the next steps in the Pier B project.
Document_Writing,Provide a report back on data regarding the clinician in jail after six months.
Meeting_Planning,Reschedule the small cell hearing to April 17th.
Document_Writing,Conclude the hearing and grant an entertainment permit with conditions on the application of Uptown Bar and Grill.
Document_Writing,Draft the ordinance for the designation of the sign as a historic landmark for the next regular meeting of the City Council.
Administrative_Communication,Update the city council on the next steps regarding the agreement between the city and VIP Records.
Document_Writing,Draft an official statement opposing SB 827 and instruct the lobbyist in Sacramento to articulate the city's strong opposition.
Administrative_Communication,Send communication to the lobbyist in Sacramento regarding monitoring and opposing SB 827.
Document_Writing,Prepare a Systemic Safety Analysis Report program and Vision Zero Action Plan.
Meeting_Planning,Schedule community meetings to develop the Vision Zero plan.
Document_Writing,Prepare a staff report for the council regarding the purchase of bicycles and associated equipment for the Long Beach bike share program.
Meeting_Planning,"Bring back updates to the council regarding the rate adjustment program for bike share users, including criteria for bike usage."
Document_Writing,Prepare a report to issue a permit to Shoreline Village for the placement and operation of retail merchandising units.
Administrative_Communication,Inform current operators about their opportunity to apply for leasing new carts under the new management.
Document_Writing,Draft a resolution repealing resolution number Sea Dash 282794 and draft a new resolution creating a nine member Advisory Commission on Youth and Families Citywide.
Document_Writing,Create an online survey to gather community feedback on park programming needs and preferences.
Meeting_Planning,Schedule a follow-up meeting in about six months to review the data from the survey and discuss park programming adjustments.
Administrative_Communication,"Develop and implement a communication strategy to improve awareness of available park programs, ensuring access to information in multiple languages."
Document_Writing,Add language to the state and federal legislative agendas to support legislation that improves working conditions for port truck drivers. | Request the city attorney to explore options to support regulatory enforcement efforts regarding truck driver misclassification.
Meeting_Planning,Request the Harbor Entitlements Committee and the Long Beach Harbor Commission to hold hearings on the trucking crises and misclassification of employees at the ports.
Administrative_Communication,Ensure the city attorney collaborates with the California Labor Commissioner and the Attorney General's office. | Provide quarterly briefings to the council on legal updates regarding truck drivers' working conditions and classification.
Document_Writing,Create a timeline memo for the council regarding the inclusionary housing policy. | Prepare a memo on the status of various tenant protection programs.
Meeting_Planning,Plan follow-up discussions about short-term rental regulations and gather community input.
Administrative_Communication,Send reminders to community members about upcoming stakeholder meetings on housing policies.
Document_Writing,Draft the land use element and urban design element with proposed changes.
Meeting_Planning,Schedule follow-up meetings to review the impacts of the new land use elements after five years.
Administrative_Communication,Send email notifications to residents regarding changes in land use and community engagement sessions.
Document_Writing,Correct the date in the council letter regarding the easement right of way for 4951 Oregon Avenue.
Document_Writing,Prepare the resolution approving the 2017 through 2019 MRU with the Long Beach Lifeguard Association.
Document_Writing,Look into needed repairs in the social hall and find out what those repairs are. | Establish a timeline for the repairs at the social hall to be completed in 30 days.
Document_Writing,Prepare documentation for the official naming of the sport court after Luke Johnson.
Meeting_Planning,Organize a celebration event at the park for the official naming once the process is complete.
Meeting_Planning,"Bring back the item for consideration once the amendments have been submitted. | Agenda a meeting for the State Committee before or after the committee meeting, if possible."
Administrative_Communication,Send out the letter from Senator Scott Wiener to the community in the newsletter.
Document_Writing,Execute all documents necessary with private property owners in Long Beach for the Business Corridor Improvement and Property Beautification Partnership Program.
Meeting_Planning,Reach out to business owners and property owners on Pacific regarding the establishment of a business improvement district.
Administrative_Communication,Compile a list to maximize the amount of funds by leveraging matching funds or outside sources.
Document_Writing,Prepare a report summarizing the My Sister's Keeper program and its funding.
Document_Writing,Draft the fiscal year 2017 year-end budget performance report. | Prepare a report detailing the recommended uses of surplus funds for FY18. | Produce budget adjustments supporting all recommended uses of the surpluses.
Document_Writing,Request the city manager and city attorney to draft a bicycle chop shop ordinance. | Revise the proposed ordinance to possibly reduce the number of bikes qualifying as a violation from five to a lower number. | Consider broader wording for bike repair facilities in the ordinance.
Administrative_Communication,Explore reconnecting a program for collecting unclaimed bicycles into youth programs.
Document_Writing,Draft the revised state legislative agenda to include support for net neutrality.
Document_Writing,Draft the zoning ordinance amendment for unattended donation boxes.
Meeting_Planning,Schedule a follow-up meeting to discuss additional regulations and feedback regarding unattended donation boxes.
Administrative_Communication,Send out a notification regarding the upcoming second reading of the zoning ordinance amendment.
Document_Writing,Prepare a staff report on the current flu season for presentation to the full council and the public.
Meeting_Planning,Plan for a flu vaccination clinic at Long Beach City College next year.
Document_Writing,Prepare a Digital Inclusion Master Plan as a roadmap for digital inclusion.
Meeting_Planning,City Manager to return with an update on the Digital Inclusion Plan in 120 days.
Administrative_Communication,Include the Technology Innovation Commission's assessment and survey in the Digital Inclusion report.
Document_Writing,Prepare information regarding the project's initial study and mitigated negative declaration for the council.
Meeting_Planning,Hold over the item regarding the easement deed until the next city council meeting on February six.
Document_Writing,Prepare an eight by 28 plan needs assessment and project timeline for the eight projects for the 2028 Summer Olympics and Paralympic Games. | Provide a report on the status of the Olympic projects and any funding gaps. | Prepare an annual report on the eight projects and housing update related to the 2028 Olympics.
Administrative_Communication,Report back to the council about the final details or agreements for 2028 with the Olympic Committee.
Document_Writing,Prepare a report detailing the findings on patents in Long Beach.
Document_Writing,Provide a link to more information about the work and a city staff contact for digital inclusion indicators.
Administrative_Communication,Connect with NDIA staff to facilitate the city's participation as a digital trailblazer.
Document_Writing,Prepare a memorandum of understanding with the Long Beach Community Foundation.
Administrative_Communication,Authorize the city manager to execute a memorandum of understanding for the disaster relief fund.
Document_Writing,"Develop a Property Based Improvement District Payment Process Handbook. | Create a Bid Handbook covering roles and responsibilities, reporting requirements, and payment processes. | Update each bid's agreement with the city to reflect current processes and enforce the agreements."
Meeting_Planning,Schedule meetings with individual business improvement districts to discuss the implementation goals of the city.
Administrative_Communication,Send training information and guidelines to bid staff on key legal and city requirements.
Document_Writing,Direct the city manager to report back within 90 days regarding the current program and municipal codes related to parklets in the City of Long Beach. | Explore and propose alternative uses for parklets beyond dining experiences.
Document_Writing,Request staff to seek out potential nonprofit partners and develop a potential budget for the Pilot Day work program.
Administrative_Communication,Develop a public information campaign that encourages donations to support the day work program.
Document_Writing,Establish an agreement with the Long Beach Downtown Development Corporation to provide services and financial support for economic development activities. | Develop a strategy to advertise the services and achievements of the DDC to small businesses and potential donors. | Prepare for the DDC's board meeting to consider becoming a trustee for the Kiva microfinance program.
Administrative_Communication,Prepare an update on the partnership agreement to promote the services of the Downtown Development Corporation.
Document_Writing,Adopt a resolution approving an amendment to Midtown's specific plan. | Adopt a resolution approving a General Plan Amendment to amend the Land Use District Map by changing the designation of 13 properties to mixed uses. | Adopt a resolution determining that the proposed project is within the scope of the project previously analyzed as part of the Midtown Specific Plan Environmental Impact Report. | Approve a lot merger and site plan review request to allow the construction of a new five story mixed use building at 1795 Long Beach Boulevard.
Administrative_Communication,Send public notices to property owners and occupants about the Planning Commission hearing and this hearing.
Document_Writing,Request the city manager to work with appropriate staff to report to council within 30 days on a potential EMU executed between public safety and water and gas departments.
Meeting_Planning,Continue the item to the next regularly scheduled city council meeting.
Document_Writing,"Craft an ordinance related to adult use, non-medical commercial cannabis activity in the city."
Administrative_Communication,Send out communication to remind urgency on the ordinance for adult use cannabis.
Document_Writing,Prepare design contracts for the Long Beach Urban Municipal Stormwater Treatment Plant project.
Meeting_Planning,Schedule public outreach component to engage with the community in 2018.
Administrative_Communication,Connect with the Council office on timelines for public outreach activities.
Document_Writing,Request the City Manager to work with appropriate staff to report to council within 30 days on a potential MRU executed between public safety and water and gas departments.
Meeting_Planning,Check in at 14 days to ensure the City Manager is on track to meet the 30-day deadline for the report.
Administrative_Communication,Report back to the council in 30 days with the findings regarding the potential MRU or the status of the report.
Document_Writing,Draft a resolution approving an addendum to the Midtown Specific Plan Environmental Impact Report. | Draft a resolution approving a General Plan Amendment to amend the Land Use District Map by changing the designation of 11 properties to mixed uses. | Draft a resolution determining that the proposed project is within the scope of the project previously analyzed as part of the Midtown Specific Plan Environmental Impact Report. | Prepare a resolution for a lot merger to consolidate three lots into one lot on properties located at 1836-1852 Locust Avenue.
Document_Writing,"Draft a report to include options for a seniors first program and rental relocation programs. | Provide a review of the covenants for restricted housing properties. | Prepare a report on citywide rental rates dated September 26, 2017, to provide context for current housing discussions."
Meeting_Planning,Schedule a city council report to review progress on the city's report on revenue tools and incentives for affordable and workforce housing.
Administrative_Communication,Send an email to request all two from fours stemming from the housing study.
Document_Writing,Create and distribute the final Environmental Impact Report (EIR) for the bond hearing and wetlands project.
Meeting_Planning,Schedule follow-up meetings with stakeholders to discuss public access plans for the restored wetlands and receive feedback.
Administrative_Communication,Send notifications to the California Coastal Commission regarding required environmental reviews and permits for the restoration project.
Document_Writing,Authorize the city manager designee to execute any and all documents necessary for the Eighth Amendment to lease number 25156.
Document_Writing,Execute a contract with Clear Channel airports for the development and operation of an airport advertising program.
Document_Writing,Approve the resolution for the East Anaheim Street Parking and Business Improvement Area Annual Ongoing Assessment.
Administrative_Communication,Extend the agreement for the East Anaheim Street Parking and Business Improvement Area for one additional year.
Document_Writing,"Receive supporting documentation into the record. | Conclude the hearing and approve the hearing officer's recommendation to uphold the denial of the business license application submitted by Seaside Medical Group, Inc."
Document_Writing,Execute a memorandum of understanding with Long Beach cares to receive and expend grant funding.
Administrative_Communication,"Reach out to 25 youth, ages 16 to 22, for participation in the Health Equity and Violence Prevention Youth Leadership Program. | Hire someone to support operating the My Brother's Keeper program."
Document_Writing,Execute all necessary documents with Rain Tree Evergreen for the reduction in sale price.
Document_Writing,Prepare a certificate to present to Dr. Felton Williams.
Administrative_Communication,Send expressions of gratitude to Dr. Williams for his contributions and leadership.
Document_Writing,Execute all documents necessary for an amended and restated agreement with the Grand Prix Association of Long Beach District two.
Administrative_Communication,Prepare and send a memo to the mayor and council on the termination clause and partnership conditions related to the Grand Prix agreement.
Document_Writing,Prepare a report for the city council that includes a review of the current policies and procedures regarding unlawful harassment. | Draft recommendations on possible changes to the city's harassment policy based on the feedback gathered from today's discussion.
Meeting_Planning,Schedule follow-up discussions with city management to explore potential changes to the harassment policy that could make it more victim-friendly.
Administrative_Communication,Ensure that the revised policies and procedures regarding unlawful harassment are communicated to all city employees.
Document_Writing,Declare ordinance amending the Long Beach Municipal Code relating to specific election procedures and read the first time.
Meeting_Planning,Lead over the ordinance to the next regular meeting of the City Council for Final Reading Citywide.
Document_Writing,Draft the revised transient occupancy tax sharing agreement.
Meeting_Planning,Ensure that the council reviews the agreement amendments before finalizing the sale.
Administrative_Communication,Notify the relevant parties once the card check agreement and project labor agreement are executed.
Document_Writing,Draft the resolution declaring a shelter crisis and authorizing the operation of a winter shelter.
Meeting_Planning,Organize outreach efforts to connect with homeless individuals in the vicinity of the winter shelter.
Administrative_Communication,Send out communications to the local community informing them about the winter shelter's opening and available services.
